name_y,resumen_reseñas,avg_rating,latitude_x,longitude_x,address
Osaka Sushi & Thai Restaurant,There isn't a single time when I have come in that I haven't been greeted by the chefs no matter how busy they are! Thank you all for your amazing quality of food and customer service!,4.3,27.8435252,-82.8295425,"Osaka Sushi & Thai Restaurant, 13800 Park Blvd N, Seminole, FL 33776, United States"
Mama Mia's Pizza,"Great pizza! Have eaten here since I was a little guy... 20-30 years, don't even know anymore.",3.7999999999999994,26.1570091,-81.79647059999999,"Mama Mia's Pizza, 720 9th St N, Naples, FL 34102"
Hot Dog Heaven,"The French fries, which are a better tasting side item & were better than the hot dog. They would have lines going around the corner if they had a better tasting hot dog.",4.6,28.555328,-81.31553,"Hot Dog Heaven, 5355 E Colonial Dr, Orlando, FL 32807, United States"
Taco Bell,Waiting over 20 minutes for two crunchy tacos. Not happy.,3.7,28.1447377,-82.74125579999999,"Taco Bell, 40976 US Hwy 19 N, Tarpon Springs, FL 34689, United States"
Royal Mexican Grill,"Very nice, clean restaurant. Quiet today but maybe more noisy layer.",4.4,30.9445917,-87.1547602,"Royal Mexican Grill, 13951 S Alabama St, Jay, FL 32565"
Popeyes Louisiana Kitchen,"Going here near peak meal times means you should also expect quite a wait through the drive through. This too however, is consistent at this location.",3.2,30.5333271,-87.2585546,"Popeyes Louisiana Kitchen, 350 E 9 Mile Rd, Pensacola, FL 32514, United States"
First Watch,A small chain cafe serving breakfast and lunch only. They have many healthier food options to choose from than your typical breakfast eatery.,4.5,30.53286,-87.227875,"First Watch, 1670 E 9 Mile Rd Ste A, Pensacola, FL 32514, United States"
Shanghai Buffet,"Shanghai buffet never disappoints. Don't go here if you need 300 different items, this by no means is huge buffet but options available are really good.",3.9,30.5305956,-87.2250526,"Shanghai Buffet, 1741 E 9 Mile Rd suite 11&12, Pensacola, FL 32514"
Frozen Ropes Yogurt,"Just an amazing cute little ice cream place. Smells delicious inside, very clean!",4.9,30.531894,-87.24609,"Frozen Ropes Yogurt, 875 E 9 Mile Rd #12, Pensacola, FL 32514"
La Cabaña Mexican Kitchen,Everything is made fresh to order so don't be in a hurry. The food was good and the prices were very reasonable.,4.8,30.5247222,-87.273821,"La Cabaña Mexican Kitchen, 8710 Pensacola Blvd, Pensacola, FL 32534"
Jersey Mike's Subs,"Today's experience was much more positive than previous experiences I have had. Although it typically does take an excessive amount of time to get your food here, today was much better than the hour and a half wait I had last time when I saw 7 people walk out due to the wait.",4.3,30.532925,-87.22779,"Jersey Mike's Subs, 1670 E 9 Mile Rd Suite B, Pensacola, FL 32514"
Kazoku Restaurant,"I have been there several time now so that means that I definitely like that place. The food is really good, they have an all you can eat menu with tons of choice, with Chinese, Japanese and Thai food, it's amazing.",4.1,30.5326549,-87.26847049999999,"Kazoku Restaurant, 119 E 9 Mile Rd, Pensacola, FL 32534, United States"
Taco Bell,Like all the rest. I was happy with my lunch.,3.6,30.5324004,-87.2620158,"Taco Bell, 301 E 9 Mile Rd, Pensacola, FL 32514, United States"
Vallarta Mexican Grill,It's the best Mexican food in the area by a strong margin. The tacos are what I always go for.,4.3,30.5314178,-87.2773361,"Vallarta Mexican Grill, 9121 Pensacola Blvd, Pensacola, FL 32534, United States"
Sam's Seafood & Grill,Sam's seafood place was very great place for fresh seafood and other fine food. The staff was very friendly and they brought your order to you at the table.,3.7,30.5325216,-87.2642229,"Sam's Seafood & Grill, 233 E 9 Mile Rd, Pensacola, FL 32514"
Gulf Coast Seafood Market and Restaurant,Fried grouper was perfect big golden nuggets. The service was very helpful with me as it was my first time.,4.5,30.5346459,-87.3143309,"Gulf Coast Seafood Market and Restaurant, 2250 W 9 Mile Rd, Pensacola, FL 32534"
