Restaurant_Name,Recommendations_content
1-800-Lucky,"['Arabian Nights Restaurant & Hookah Lounge Orlando', ""Randy's Restaurant & Lounge"", 'Little Saigon', 'Dragon Pho', 'El Mariachi Restaurant - Mexican & Cuban Cuisine', 'Eastern Pearl Restaurant', 'Shang Hai', 'China Restaurant', 'China Garden Restaurant', 'Orale Mexican Restaurant']"
10x vegan,"['KUBA EN LA PLAYA', 'Bolay', ""Lolly's Pantry"", ""Jean's Jamaican Restaurant"", 'Island Flavor Cafe', 'Vegan Gator Food Truck', 'Yuppie Bowls', 'Eattitude', 'Annas Pizza Port St Lucie', 'The Pie House']"
13 Gypsies,"['Bodrum Restaurant', ""Cristino's Coal Oven Pizza"", 'Pane E Vino Italian Restaurant, Deli & Bakery', 'Happy Vegan Bakers Café', 'Positano Ristorante', 'La Crema Tapas & Chocolate', 'Villagio', 'Caffe Andiamo', 'Goblin Market', ""Millie's Restaurant & Catering""]"
14 Bis Pizzeria Brazilian = American,"['Piola', 'Corner Cucina', ""Johnny Brusco's New York Style Pizza"", 'Foodys Diner and Pizza House', 'Antojos Boricuas II', 'Polo Norte Palm Springs North', ""Joey's New York Pizza & Italian Restaurant"", '800 Degrees Woodfired Kitchen', 'Oma’s Pizza & Restaurant', 'Pinecrest Pizzeria - North Miami']"
145F SEAFOOD BOIL,"['Yummy crab juicy seafood', 'Crafty Crab North Monroe', 'The Hidden Crab', 'Everglades Seafood Depot', 'Margarita Cantina', 'The Dancing Crab', 'Ice Crab House', 'Fish Market & Restaurant', 'L&E Fine Cooking', 'Yami Crab & Bar']"
147 farmers Market,"[""Leo's Crab Shack"", ""Kim's Seafood Market"", 'Goatfeathers at 30Avenue', 'Gulf Coast Seafood Market and Restaurant', 'Los Amigos (Closed)', 'Lazy Gator Ruskin LLC', 'Jerk Shack Spice & Sport Bar', 'Mega Tropical', ""Gene's Seafood Restaurant"", 'Londons Seafood Place']"
1601 Lounge,"['Dahlia Lounge', 'The Rickenbacker Restaurant', 'Bar 1903', ""Enzo's Hideaway Tunnel Bar"", 'Players Sports Pub', 'Annata Wine Bar', 'Juicy Blue Tapas Bar & Bistro', 'Nemo Sports Bar', 'Glory Days Grill', 'Keg & Cow']"
1821 Sandwich Shop,"['Mediterranean Experience', ""JB's Seafood"", 'A Taste Of Miami', 'Nacho’s Tacos', 'South Pacific Grill', 'Waros Grill Venezuelan Food Truck', 'Arepas Santa Bárbara la Original', 'Seven Wonders Bakery', 'Poulet Chic Restaurant', 'Chile Lindo']"
1888,"['Justins Caribbean Fusion Restaurant', ""Lombardi's Seafood Café"", 'Rasoi Indian Kitchen', 'Clear Sky Club Haus', 'Thrive Cocktail Lounge & Eatery', 'Lottawatta Lodge', 'Crate Miami', 'El Dorado Mexican Restaurant', 'Thai Sushi by KJ', 'Bodega Olé']"
1st Street Deli (in Seminole Casino Hotel),"['Marcelos Bistro, in the Florida Mall Hotel', 'Country Kitchen', 'Krispy krunchy @ food express', 'Beachside Grille', ""Jerry's Famous Deli"", 'Bigote Cafeteria', 'wheel cafe', ""Pepito's"", ""L'Eden Cafe & Bar"", 'Lazy Gator Ruskin LLC']"
