,business_name,address,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,state,user_name,time,rating,text,year
4467,Pizza Hut,"Pizza Hut, 2910 Kerry Forest Pkwy Ste A3, Tallahassee, FL 32308",Family-friendly chain known for its made-to-order pizzas.,30.5423752,-84.22475089999999,"['Pizza delivery' 'Chicken wings restaurant' 'Takeout Restaurant'
 'Pizza restaurant']",3.4,88,$,"[array(['Tuesday', '10:30AM–10PM'], dtype=object)
 array(['Wednesday', '10:30AM–10PM'], dtype=object)
 array(['Thursday', '10:30AM–10PM'], dtype=object)
 array(['Friday', '10:30AM–11PM'], dtype=object)
 array(['Saturday', '10:30AM–11PM'], dtype=object)
 array(['Sunday', '10:30AM–10PM'], dtype=object)
 array(['Monday', '10:30AM–10PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance', 'Wheelchair accessible restroom'],
      dtype=object), 'Activities': None, 'Amenities': None, 'Atmosphere': None, 'Crowd': None, 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': None, 'Payments': None, 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': array(['Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout',
       'Dine-in'], dtype=object)}",Closed ⋅ Opens 10:30AM,Jasmine James,2018-08-24,1.0,"Overcooked, cardboard. The worst pizza and worst experience at a Pizza Hut. Told the manager that I  was disappointed. He told me that this cheese bites pizza that was overcooked so badly that the cheese had completely melted and burned out of the bites that were rock hard, was ""perfect"". That ""nothing was wrong with the pizza"" ""if he made another it would look exactly the same"" ""you must not like cheese bites pizza because this is what it's supposed to look like"" ""you ate almost half off it and you touched the whole pizza"" (a note on that last one: my family tried to choke it down before I took it back because it was awful. We ate 1 slice, 1 bite, and .5 slice)... as well as many other comments.
I had gone back to the store to have a satisfactory meal prepared, but given the manager's 'standard' of quality and attitude, I asked for a refund. To which he responded ""That's what I figured you wanted all along"", as if I would go through all this nonsense to somehow ""get away"" with one terrible slice of pizza. I expect better from this company, but if this manager is a representative of Pizza Hut, then there is definitely a customer service problem that people should be aware of.",2018
6034,Checkers,"Checkers, 3276 S Congress Ave, Palm Springs, FL 33461","Chain eatery serving fast-food classics like burgers, hot dogs, french fries & shakes.",26.6282388,-80.0884023,"['Fast food restaurant' 'American restaurant' 'Chicken restaurant'
 'Hamburger restaurant' 'Sandwich shop']",2.3,17,$,,"{'Accessibility': None, 'Activities': None, 'Amenities': array(['Restroom'], dtype=object), 'Atmosphere': None, 'Crowd': array(['Family-friendly'], dtype=object), 'Dining options': array(['Lunch', 'Dinner', 'Dessert'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': array(['Late-night food'], dtype=object), 'Payments': array(['Debit cards', 'Credit cards'], dtype=object), 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': array(['Outdoor seating', 'Delivery', 'Drive-through', 'Takeout',
       'Dine-in'], dtype=object)}",,Kelly Montgomery,2020-03-20,1.0,I normally go to to checkers on Dixie and the cashier was rude. Was more interested the conversation that I was interrupting. I thought she was speaking to would say o not you. I gave her my card to pay didn't tell me the total closed the window without letting me know what was going on and kept rolling her eyes. Her customer service sucks. I don't recommed this place.,2020
8363,Jimmy John's,"Jimmy John's, 1704 Capital Cir NE #102, Tallahassee, FL 32308","Counter-serve chain specializing in sub & club sandwiches, plus signature potato chips.",30.4638705,-84.22866169999999,"['Sandwich shop' 'Caterer' 'Fast food restaurant' 'Delivery Restaurant'
 'Takeout Restaurant']",4.0,55,$,"[array(['Sunday', 'Closed'], dtype=object)
 array(['Monday', '10AM–10PM'], dtype=object)
 array(['Tuesday', '10AM–10PM'], dtype=object)
 array(['Wednesday', '10AM–10PM'], dtype=object)
 array(['Thursday', '10AM–10PM'], dtype=object)
 array(['Friday', '10AM–10PM'], dtype=object)
 array(['Saturday', '10AM–10PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': array(['Good for kids'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': array(['College students', 'Groups', 'Tourists'], dtype=object), 'Dining options': array(['Catering'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': array(['Healthy options', 'Quick bite'], dtype=object), 'Payments': array(['NFC mobile payments'], dtype=object), 'Planning': None, 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Curbside pickup', 'No-contact delivery', 'Delivery',
       'Drive-through', 'Takeout', 'Dine-in'], dtype=object)}",Closed ⋅ Opens 10AM Mon,Laney McLean,2020-10-21,4.0,"This is a clean, new Jimmy John's. Order and pay online with contactless pickup. There's also a drive-thru.",2020
10074,Dairy Queen Grill & Chill,"Dairy Queen Grill & Chill, 4828 Lake Worth Rd, Greenacres, FL 33463",Soft-serve ice cream & signature shakes top the menu at this classic burger & fries fast-food chain.,26.6182897,-80.11880239999999,['Fast food restaurant' 'Ice cream shop'],4.1,68,$,"[array(['Sunday', '10:30AM–10PM'], dtype=object)
 array(['Monday', '10:30AM–10:30PM'], dtype=object)
 array(['Tuesday', '10:30AM–10:30PM'], dtype=object)
 array(['Wednesday', '10:30AM–10:30PM'], dtype=object)
 array(['Thursday', '10:30AM–10:30PM'], dtype=object)
 array(['Friday', '10:30AM–11PM'], dtype=object)
 array(['Saturday', '10:30AM–11PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': array(['Good for kids', 'High chairs'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': array(['Family-friendly', 'Groups'], dtype=object), 'Dining options': array(['Dessert'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': array(['Fast service'], dtype=object), 'Lodging options': None, 'Offerings': array([""Kids' menu"", 'Quick bite'], dtype=object), 'Payments': None, 'Planning': None, 'Popular for': array(['Lunch', 'Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Outdoor seating', 'Delivery', 'Drive-through', 'Takeout',
       'Dine-in'], dtype=object)}",Closed ⋅ Opens 10:30AM,Eric Mercado,2021-06-13,4.0,They did a good job with this location. We loved the Blizzard and milk shake. Customer service was good but parking is tricky so be careful.,2021
11720,First Watch,"First Watch, 9271 Baymeadows Rd, Jacksonville, FL 32256","Cafe chain for health-minded breakfast, brunch & lunch options such as omelets, salads & soups.",30.221404999999997,-81.56595999999999,"['Breakfast restaurant' 'Brunch restaurant' 'Family restaurant'
 'Fast food restaurant' 'Health food restaurant' 'Lunch restaurant'
 'Pancake restaurant' 'Restaurant' 'Traditional American restaurant']",4.4,28,$$,"[array(['Saturday', '7AM–2:30PM'], dtype=object)
 array(['Sunday', '7AM–2:30PM'], dtype=object)
 array(['Monday', '7AM–2:30PM'], dtype=object)
 array(['Tuesday', '7AM–2:30PM'], dtype=object)
 array(['Wednesday', '7AM–2:30PM'], dtype=object)
 array(['Thursday', '7AM–2:30PM'], dtype=object)
 array(['Friday', '7AM–2:30PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': array(['Good for kids', 'High chairs'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': array(['Groups', 'Tourists'], dtype=object), 'Dining options': array(['Dessert'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': array(['Great coffee', 'Great tea selection'], dtype=object), 'Lodging options': None, 'Offerings': array(['Coffee', 'Comfort food', 'Healthy options', ""Kids' menu"",
       'Quick bite', 'Vegetarian options'], dtype=object), 'Payments': None, 'Planning': None, 'Popular for': array(['Breakfast', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Delivery', 'Takeout', 'Dine-in'], dtype=object)}",Open ⋅ Closes 2:30PM,Stephanie White,2021-06-13,3.0,"Our server had a snake and skull tattoo on her left arm, openly told us to “grab any server we saw if we needed anything” because her tables were inside. (We never saw her again)
Very disappointed with the service however food was excellent and there was one waitress with short brown hair that noticed we had been sitting there for awhile and got our mimosas and “our waitress” for us, the one with dirty blonde hair and blue nails got our waters. They were both great.",2021
12798,Tropical Smoothie Cafe,"Tropical Smoothie Cafe, 17419 Tamiami Trail, North Port, FL 34287","Casual, health-conscious chain cafe featuring custom smoothies, sandwiches & wraps.",27.0373998,-82.21374809999999,['Restaurant' 'Juice shop'],4.3,74,$,"[array(['Saturday', '8AM–9PM'], dtype=object)
 array(['Sunday', '9AM–8PM'], dtype=object)
 array(['Monday', '7AM–9PM'], dtype=object)
 array(['Tuesday', '7AM–9PM'], dtype=object)
 array(['Wednesday', '7AM–9PM'], dtype=object)
 array(['Thursday', '7AM–9PM'], dtype=object)
 array(['Friday', '7AM–9PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': array(['Good for kids'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': array(['Tourists'], dtype=object), 'Dining options': None, 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': array(['Healthy options', ""Kids' menu"", 'Quick bite',
       'Vegetarian options'], dtype=object), 'Payments': array(['Debit cards', 'NFC mobile payments', 'Credit cards'], dtype=object), 'Planning': None, 'Popular for': array(['Breakfast', 'Lunch', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Curbside pickup', 'Delivery', 'Takeout', 'Dine-in'], dtype=object)}",Closed ⋅ Opens 8AM,JoAnn Marie Salmoretti,2020-02-02,5.0,"WoW! Yum, perfect pick me up this morning!  The Sunrise Sunset Smoothie , which is perfect blend of strawberries, pineapple, mango and orange juice’ only 360 calories for a massive size, loved it!  Quick friendly service, also enjoy their Tropical Chicken Salad which is a delightful 9 grain bread topped with pulled chicken, cashews, roasted pineapple salsa and jerk mayo!  They offer a half size and it was generous compliment to my (( I’ll be back Smoothie)) total cost only $ 7.79 - nice lil Brunch!ie!  Enjoy! - Jo",2020
12940,Papa John's Pizza,"Papa John's Pizza, 27990 S Tamiami Trail, Bonita Springs, FL 34134","Take-out/delivery chain offering classic & specialty pizzas, wings & breadsticks, plus desserts.",26.3311763,-81.8066942,['Pizza restaurant'],3.1,137,$,"[array(['Saturday', '10:30AM–1AM'], dtype=object)
 array(['Sunday', '11AM–12AM'], dtype=object)
 array(['Monday', '10:30AM–12AM'], dtype=object)
 array(['Tuesday', '10:30AM–12AM'], dtype=object)
 array(['Wednesday', '10:30AM–12AM'], dtype=object)
 array(['Thursday', '10:30AM–12AM'], dtype=object)
 array(['Friday', '10:30AM–1AM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': array(['Good for kids'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': None, 'Dining options': array(['Dessert'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': array(['Mask required'], dtype=object), 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': array(['Comfort food', 'Late-night food', 'Quick bite'], dtype=object), 'Payments': None, 'Planning': None, 'Popular for': array(['Lunch', 'Dinner'], dtype=object), 'Recycling': None, 'Service options': array(['Curbside pickup', 'No-contact delivery', 'Delivery', 'Takeout',
       'Dine-in'], dtype=object)}",Closed ⋅ Opens 10:30AM,Pierre Simon,2020-12-29,2.0,"First off customer service was terrible. Walked in to pick up an online order that was already paid for, there was no line and 3 people standing around with nothing to do pretending they dont see me waiting. I dont mind waiting for sure if its busy but nothing's happening and thats kind of rude. Also last time check were in the middle of a pandemic so why isnt anyone wearing mask or gloves? Thats pretty messed up, im still going to eat the food though its already paid for and im starving so I'll just hope the best. Lastly, they gave me a busted blue cheese with my wings. That I wont eat. But seriously I wont be back. Mom and pop pizzerias are the only way to go its seems. Because at these franchise locations no one seems to care.",2020
18020,McDonald's,"McDonald's, 10991-1, San Jose Blvd, Jacksonville, FL 32223","Classic, long-running fast-food chain known for its burgers, fries & shakes.",30.1766853,-81.6258277,"['Fast food restaurant' 'Breakfast restaurant' 'Coffee shop'
 'Hamburger restaurant' 'Restaurant' 'Sandwich shop']",2.2,66,$,,"{'Accessibility': array(['Wheelchair accessible entrance', 'Wheelchair accessible restroom',
       'Wheelchair accessible seating'], dtype=object), 'Activities': None, 'Amenities': array(['Gender-neutral restroom', 'Good for kids', 'High chairs'],
      dtype=object), 'Atmosphere': None, 'Crowd': None, 'Dining options': array(['Breakfast', 'Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating'],
      dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': array(['Alcohol', 'All you can eat', 'Coffee', ""Kids' menu"",
       'Late-night food', 'Salad bar'], dtype=object), 'Payments': array(['Cash-only', 'NFC mobile payments', 'Credit cards'], dtype=object), 'Planning': None, 'Popular for': None, 'Recycling': None, 'Service options': array(['Curbside pickup', 'Delivery', 'Drive-through', 'Takeout'],
      dtype=object)}",,damion martinez,2019-05-16,5.0,This McDonald's reopened today after they tore the old one down. Today the food was on point and the ice cream machine was working. Love the new look keep up the good work.,2019
23286,Shake Shack,"Shake Shack, 1011 Gramercy Ln, Tampa, FL 33607","Hip, counter-serve chain for gourmet takes on fast-food classics like burgers & frozen custard.",27.953266799999998,-82.5027518,['Hamburger restaurant' 'American restaurant' 'Fast food restaurant'],3.8,76,$$,"[array(['Wednesday', '11AM–9PM'], dtype=object)
 array(['Thursday', '11AM–9PM'], dtype=object)
 array(['Friday', '11AM–10PM'], dtype=object)
 array(['Saturday', '11AM–10PM'], dtype=object)
 array(['Sunday', '11AM–9PM'], dtype=object)
 array(['Monday', '11AM–9PM'], dtype=object)
 array(['Tuesday', '11AM–9PM'], dtype=object)]","{'Accessibility': array(['Wheelchair accessible entrance'], dtype=object), 'Activities': None, 'Amenities': array(['Good for kids'], dtype=object), 'Atmosphere': array(['Casual'], dtype=object), 'Crowd': None, 'Dining options': array(['Dessert'], dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': array(['Mask required',
       'Staff required to disinfect surfaces between visits'],
      dtype=object), 'Health and safety': None, 'Highlights': None, 'Lodging options': None, 'Offerings': array(['Quick bite'], dtype=object), 'Payments': None, 'Planning': None, 'Popular for': array(['Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Delivery', 'Takeout', 'Dine-in'], dtype=object)}",Closed ⋅ Opens 11AM,Russel Weich,2021-06-17,5.0,"Quick tip below!!
I always stop at Shake Shack when I visit friends in Denver and I’m so happy they brought one to my Tampa!!
The burgers are awesome and the fries are my favorite.
The ordering seems a little difficult but it’s probably because of the amount of people coming in since it opened.
I think they should let you order from your table, if you need to use a touch screen anyways.
Quick tip: if you pay with cash the line is shorter. You’re welcome.",2021
31576,Bonefish Grill,"Bonefish Grill, 5062 4th St N, St. Petersburg, FL 33703, United States","Contemporary grill chain offering a seafood-centric menu, plus steaks & cocktails.",27.8187708,-82.63914869999999,"['Seafood restaurant' 'American restaurant' 'Bar & grill'
 'Brunch restaurant' 'Californian restaurant' 'Caterer'
 'Gluten-free restaurant' 'Takeout restaurant' 'Restaurant' 'Wine bar']",4.3,1203,$$,"[array(['Monday', '11AM–10PM'], dtype=object)
 array(['Tuesday', '11AM–10PM'], dtype=object)
 array(['Wednesday', '11AM–10PM'], dtype=object)
 array(['Thursday', '11AM–10PM'], dtype=object)
 array(['Friday', '11AM–11PM'], dtype=object)
 array(['Saturday', '11AM–11PM'], dtype=object)
 array(['Sunday', '11AM–9PM'], dtype=object)]","{'Accessibility': array(['Wheelchair-accessible car park', 'Wheelchair-accessible entrance',
       'Wheelchair-accessible lift', 'Wheelchair-accessible seating',
       'Wheelchair-accessible toilet'], dtype=object), 'Activities': None, 'Amenities': array(['Bar on site', 'Good for kids', 'High chairs', 'Toilets', 'Wi-Fi'],
      dtype=object), 'Atmosphere': array(['Casual', 'Cosy', 'Romantic', 'Upmarket'], dtype=object), 'Crowd': array(['Family friendly', 'Groups', 'Tourists'], dtype=object), 'Dining options': array(['Breakfast', 'Dinner', 'Catering', 'Dessert', 'Seating'],
      dtype=object), 'From the business': None, 'Getting here': None, 'Health & safety': None, 'Health and safety': array(['Mask required', 'Staff wear masks',
       'Staff get temperature checks',
       'Staff required to disinfect surfaces between visits'],
      dtype=object), 'Highlights': array(['Fireplace', 'Great dessert', 'LGBTQ-friendly'], dtype=object), 'Lodging options': None, 'Offerings': array(['Alcohol', 'Beer', 'Braille menu', 'Cocktails', 'Coffee',
       'Comfort food', 'Happy-hour drinks', 'Healthy options',
       ""Kids' menu"", 'Organic dishes', 'Quick bite', 'Salad bar',
       'Small plates', 'Spirits', 'Wine'], dtype=object), 'Payments': array(['Debit cards', 'Credit cards'], dtype=object), 'Planning': array(['Dinner reservations recommended', 'Accepts reservations'],
      dtype=object), 'Popular for': array(['Dinner', 'Solo dining'], dtype=object), 'Recycling': None, 'Service options': array(['Curbside pickup', 'Delivery', 'Takeaway', 'Dine-in'], dtype=object)}",Closed ⋅ Opens 11AM Tue,Corin Kierson,2021-05-28,5.0,"Clean covid 19 masks and guidelines practiced, I had the Chilean sea bass sea, and bang bang shrimp both are always very delicious. I asked for two different sauces almost like a butter cream sauce with I guess it was tomatoes and the other was a mango salsa the sides were pretty fresh the green beans were crisp and the mashed potatoes are yummy. Also had a Russian mule and they use the correct copper mug so it was extra cold it was in the afternoon time so it wasn't super busy but people were enjoying themselves and the servers were excellent",2021
